|||||Data Source|||Data Location||VA Programs 2019-2024
Namespace|Monograph Name|Section|Section Name|Status
PRCA|Accounts Receivable|Financial-Administrative|Accounts Receivable (AR) (PRCA)|
||Clinicals|Admission Discharge Transfer (ADT)|
DG|Admission, Discharge, Transfer (ADT)/Registration|||
||Clinicals|Ambulatory Care Reporting (ACR)|
OR|Anticoagulation Management Tool|Clinicals|Anticoagulation Management Tool (AMT)|
IBD|Automated Information Collection System (AICS)|Financial-Administrative|Automated Information Collection System (AICS) (IBD)|
DVBA|Automated Medical Information Exchange (AMIE)|Financial-Administrative|Automated Medical Information Exchange (AMIE) (DVBA)|
OOPS|Automated Safety Incident Surveillance Tracking System (ASISTS)|||
||Financial-Administrative|Automated Safety Incident Surveillance Tracking System (OOPS)-DECOMMISSIONED JAN 2019|
||Clinicals|Automated Service Connected Designation (ASCD)|
||Clinicals|Bar Code Expansion (BCE) (MJCF)|
PSB or BCBU|Bar Code Medication Administration (BCMA) Backup Utility|||
WEBB|Bed Management Solution (BMS)|||
DGBT|Beneficiary Travel|Clinicals|Beneficiary Travel (DGBT)|
||Clinicals|Blind Rehabilitation (ANRV)|
ANRV|Blind Rehabilitation/VIST|||
GMRA|CPRS: Adverse Reaction Tracking (ART)|Clinicals|CPRS: Adverse Reaction Tracking (ART) (GMRA)|
||Clinicals|CPRS: Authorization Subscription Utility (ASU)|
USR|CPRS: Authorization/Subscription (ASU)|||
||Clinicals|CPRS: Bulk Parameter Editor for Notifications|
||Clinicals|CPRS: Clinical Reminders (PXRM)|
GMRC|CPRS: Consult/Request Tracking|Clinicals|CPRS: Consult/Request Tracking (GMRC)|
GMTS|CPRS: Health Summary|Clinicals|CPRS: Health Summary (GMTS)|
GMPL|CPRS: Problem List|Clinicals|CPRS: Problem List (GMPL)|
TIU|CPRS: Text Integration Utilities (TIU)|||
||Clinicals|CPRS: Text Integration Utility (TIU)|
KMPD|Capacity Management Tools|Infrastructure|Capacity Management Tools (KMPD)|
ORRC|Care Management|Clinicals|Care Management (ORRC)|DEC 2019
DSIB|Caribou Community Living Care (CLC) Suite (Caribou)|||
ROR|Clinical Case Registries (CCR)|||
ROR|Clinical Case Registries: Hepatitis C (HepC)|||
ROR|Clinical Case Registries: Human Immunodeficiency Virus (HIV)|||
XWB|Clinical Context Object Workgroup|||
CISS|Clinical Information Support System (CISS)|||
QAM|Clinical Monitoring System|Financial-Administrative|Clinical Monitoring System (QAM)|
MD|Clinical Procedures|Clinicals|Clinical Procedures (MD)|
||Clinicals|Clinical/Health Data Repository (CHDR)|
||Clinicals|Community Care Referral and Authorization (CCRA)|
||Clinicals|Community Viewer (CV) (WEBE)|
DVBA|Compensation and Pension Record Interchange (CAPRI)|||
||Clinicals|Computerized Patient Record System (CPRS)|
PSX|Consolidated Mail Output Pharmacy (CMOP)A|||
|Cross Application Integration Protocol (CAIP)|||
||Financial-Administrative|Current Procedural Terminology (CPT)|
||Financial-Administrative|Decision Support System (DSS) Extracts|
||Clinicals|Dentistry (DRM+)|
||Financial-Administrative|Diagnostic Related Group (DRG) Grouper|
ICD|Diagnostic Related Grouper (DRG)|||
||Vista-GUI Hybrids|Direct Secure Messaging (WEBD)|
DSIV|DocManager|||
XDR|Duplicate Record Merge|||
||Infrastructure|Duplicate Record Merge: Patient Merge|
||Financial-Administrative|Electronic Claims Management Engine (ECME)|
ECME (BPS?)|Electronic Claims Management Engine (ECME) (AKA: ePharmacy)|||
NTSE|Electronic Error and Enhancement Reporting (E3R)|||
||Vista-GUI Hybrids|Electronic Signature (ESig) (XOBE)|
XOBE|Electronic Signature (Esig)|||
||Clinicals|Electronic Wait List|MAR 2021
EDP|Emergency Department Integration Software (EDIS)|||
LR|Emerging Pathogens Initiative (EPI)|||
DSIP|Encoder Product Suite (EPS)|||
EN|Engineering (AEM/MERS)|||
||Financial-Administrative|Engineering (AEMS / MERS) (EN)|
EAS|Enrollment Application System|Financial-Administrative|Enrollment Application System (EAS)|
EAS|Enrollment Application System: Local Signed Means Test Application (ROSSIO 22)|||
EAS|Enrollment Application System: Long Term Care (LTC) Copayment|||
N/A|Enrollment System|||
||Infrastructure|Enterprise Exception Log Service (EELS)|
SVE|Enterprise Exception Log Services (EELS)|||
HMP|Enterprise Health Management Platform|||
||Clinicals|Enterprise Terminology Service (ETS)|
||Financial-Administrative|Equipment / Turn-In Request (PRCN)|
PRCN|Equipment /Turn-In Request|||
EC|Event Capture System|Financial-Administrative|Event Capture System (ECS) (EC)|
XU|Fat Client Kernel Authentication and Authorization (FatKAAT)|||
||Infrastructure|FatKAAT|
FB|Fee Basis|Financial-Administrative|Fee Basis (FB)|
||Infrastructure|FileMan (DI)|
FMDC|FileMan Delphi Components (FDMC)|||
||Infrastructure|FileMan Delphi Components (FMDC)|
DGFFP|Fugitive Felon Program (FFP)|||
||Clinicals|Functional Independence Measurement (FIM)|
RMIM|Functional Independence Measures (FIM)|||
GEC|Generic Code Sheet|Financial-Administrative|Generic Code Sheet (GCS) (GEN)|
OR|Group Notes|||
||Clinicals|HDR - Historical (HDR-Hx)|
||Infrastructure|HL7 (VistA Messaging)|
LR|HOWDY Computerized Login Process|||
HDI|Health Data Informatics|||
HDS|Health Data Repository|||
||Financial-Administrative|Health Eligibility Center (HEC) (IVMB)|
|Health Information Technology Sharing (HITS): Bi-Directional Health Information Exchange (BHIE) and Legacy Viewer Sustainment (LVS)|||
CHDR|Health Information Technology Sharing (HITS): Clinical Health Data Repository (CHDR)|||
Multiple|Health Information Technology Sharing (HITS): Federal Health Information Exchange (FHIE)|||
Multiple|Health Information Technology Sharing (HITS): Global War on Terror|||
LR|Health Information Technology Sharing (HITS): Laboratory Data Sharing and Interoperability (LDSI)|||
HL|Health Level 7 (HL7) (VistA Messaging)|||
HL|Health Level Seven Optimized (HLO) (VistA Messaging)|||
||Clinicals|Health Management Platform|OCT 2017
||Vista-GUI Hybrids|HealtheVet Web Services Client (HWSC) (XOBW)|
HBH|Home Based Primary Care (HBPC)|||
||Clinicals|Home Telehealth|
DGHT, WEBI|Home Telehealth/Integrated Home Telehealth (IHTA)|||
|Homeless Management Information (HMIS)|||
